graph_pos,corr_comb,spd-wspd,spd-eucd,wspd-eucd
"((110, 330), (220, 330), (220, 440), (220, 770), (330, 330), (330, 770), (550, 770), (660, 770))",0.2540548878297912,0.7540327894249487,0.004551063084501462,0.0035808109799233406
"((110, 330), (220, 330), (220, 440), (220, 770), (330, 440), (330, 770), (440, 770), (660, 770))",0.2528358235377608,0.7350833514374135,0.02273644960573151,0.0006876695701373185
"((110, 330), (220, 330), (220, 440), (220, 770), (440, 440), (440, 770), (550, 770), (660, 770))",0.25397611650624347,0.7514971471576715,0.003834128905580746,0.00659707345547824
"((110, 330), (220, 330), (220, 440), (330, 770), (440, 330), (550, 660), (660, 660), (770, 660))",0.2527080096949026,0.7535813316157515,0.00028385298319761996,0.0042588444857586515
"((110, 330), (220, 330), (220, 440), (330, 770), (440, 550), (440, 770), (550, 770), (660, 770))",0.2556542797548472,0.720239008242081,0.010802798173408911,0.035921032849051744
"((110, 440), (110, 550), (220, 330), (440, 110), (550, 330), (660, 110), (660, 220), (770, 220))",0.2545681772573994,0.7308384042683813,0.00028408792845776085,0.03258203957535897
"((110, 440), (110, 550), (220, 440), (440, 220), (440, 550), (550, 220), (550, 330), (770, 550))",0.25486300112479093,0.7619008608627672,0.0024134154847891462,0.00027472702681649206
"((110, 440), (110, 550), (220, 440), (550, 220), (550, 550), (660, 330), (660, 440), (770, 550))",0.25238058805887364,0.7330612765764495,0.0053939499049959925,0.01868653769517542
"((110, 440), (110, 550), (330, 330), (550, 220), (660, 660), (770, 440), (770, 550), (770, 660))",0.2539943336817356,0.7464424914031944,0.004826165704470097,0.010714343937542233
"((110, 440), (110, 550), (330, 440), (440, 220), (440, 550), (550, 330), (660, 440), (770, 550))",0.2535992171212145,0.7413926172405947,0.007967668085594555,0.01143736603745443
"((110, 440), (110, 660), (220, 440), (550, 220), (550, 550), (660, 330), (770, 440), (770, 550))",0.2524389333331606,0.7508151925542447,0.0058149816225908126,0.0006866258226462316
"((110, 440), (110, 660), (220, 440), (550, 220), (660, 550), (770, 330), (770, 440), (770, 550))",0.25476218687773083,0.7427067242439506,0.012640168502762008,0.008939667886479903
"((110, 440), (220, 220), (440, 330), (660, 220), (660, 550), (770, 330), (770, 550), (770, 660))",0.24894781393054435,0.7281338445056984,0.018435210292554075,0.0002743869933805056
"((110, 550), (110, 660), (220, 440), (330, 110), (330, 550), (550, 110), (660, 110), (770, 220))",0.2548894573629492,0.753027309275124,0.00368602815994675,0.007955034653776864
"((110, 550), (110, 660), (220, 440), (330, 110), (330, 550), (550, 220), (660, 220), (770, 220))",0.2543750938496891,0.7449487567371486,0.006377910745427118,0.011798614066491537
"((110, 550), (110, 660), (220, 440), (330, 110), (440, 440), (550, 110), (550, 220), (770, 220))",0.2498950608971212,0.7455148272209915,0.0014204396422888045,0.0027499158280834047
"((110, 550), (110, 660), (220, 440), (440, 110), (440, 440), (550, 110), (660, 220), (770, 220))",0.25032110077218933,0.7161660143068556,0.002410758269026302,0.032386529740686266
"((110, 550), (110, 660), (220, 440), (440, 110), (440, 440), (550, 220), (660, 220), (770, 220))",0.25447272213729094,0.7161660143068556,0.013337415484916052,0.033914736620101235
"((110, 550), (110, 660), (220, 440), (440, 220), (550, 440), (660, 220), (660, 330), (770, 330))",0.2545681772573994,0.7308384042683813,0.00028408792845776085,0.03258203957535897
"((110, 550), (110, 660), (220, 440), (440, 220), (660, 550), (770, 220), (770, 330), (770, 440))",0.25541468944395823,0.7588174835912976,0.0005669253995935217,0.006859659340983451
"((110, 550), (110, 660), (220, 550), (440, 330), (440, 660), (550, 330), (550, 440), (770, 660))",0.25486300112479093,0.7619008608627672,0.0024134154847891462,0.00027472702681649206
"((110, 550), (110, 660), (220, 550), (550, 330), (550, 660), (660, 440), (660, 550), (770, 660))",0.25238058805887364,0.7330612765764495,0.0053939499049959925,0.01868653769517542
"((110, 550), (110, 660), (220, 550), (550, 330), (550, 770), (660, 440), (770, 550), (770, 660))",0.25569710522829975,0.7548931048928972,0.003687549321642954,0.008510661470359063
"((110, 550), (110, 660), (330, 440), (440, 110), (550, 440), (660, 220), (770, 220), (770, 330))",0.24752046604187738,0.7378728756891133,0.0005676277645949661,0.00412089467192386
"((110, 550), (110, 660), (330, 550), (440, 330), (440, 660), (550, 440), (660, 550), (770, 660))",0.2535992171212145,0.7413926172405947,0.007967668085594555,0.01143736603745443
"((220, 220), (220, 330), (220, 440), (440, 770), (550, 550), (550, 770), (660, 660), (770, 660))",0.25301872366730116,0.7382367172368969,0.010650358071057625,0.010169095693949023
"((220, 220), (220, 330), (330, 440), (330, 770), (440, 660), (440, 770), (550, 660), (660, 660))",0.254997309248674,0.7441788295642158,0.005402892629961731,0.015410205551844322
"((220, 220), (220, 330), (330, 440), (440, 770), (550, 550), (550, 660), (660, 660), (770, 660))",0.2555568196975223,0.7242871840768856,0.0125136923220578,0.029869582693623525
